Trip Start Timestamp,Trip End Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Fare,Tips,Tolls,Extras,Trip Total,Payment Type,Company,Pickup Centroid Latitude,Pickup Centroid Longitude,Dropoff Centroid Latitude,Dropoff Centroid Longitude
5/28/2021 7:45,5/28/2021 7:45,300.0,1.2,32.0,28.0,6.25,3.0,0.0,0.0,9.25,Credit Card,Star North Management LLC,41.88498719,-87.62099291,41.87925508,-87.642649
3/24/2021 21:15,3/25/2021 6:30,33581.0,1.05,8.0,2.0,6.25,8.15,0.0,0.0,14.4,Cash,Flash Cab,41.89960211,-87.63330804,42.00157103,-87.69501259
1/3/2021 13:00,1/3/2021 13:30,1986.0,9.87,77.0,24.0,30.5,0.0,0.0,0.0,30.5,Prcard,Flash Cab,41.9867118,-87.66341641,41.90120699,-87.67635599
1/5/2021 10:45,1/5/2021 10:45,240.0,1.3,32.0,8.0,6.5,0.0,0.0,1.0,7.5,Cash,Top Cab Affiliation,41.87886558,-87.62519214,41.89960211,-87.63330804
2/2/2021 15:30,2/2/2021 15:30,420.0,0.0,8.0,8.0,6.0,0.0,0.0,0.0,6.0,Cash,Blue Ribbon Taxi Association Inc.,41.89960211,-87.63330804,41.89960211,-87.63330804
3/30/2021 19:30,3/30/2021 20:00,1680.0,0.7,32.0,44.0,33.0,0.0,0.0,0.0,33.0,Cash,Taxi Affiliation Services,41.87886558,-87.62519214,41.74020576,-87.61596952
2/21/2021 1:30,2/21/2021 1:45,840.0,7.2,8.0,39.0,20.0,4.1,0.0,0.0,24.1,Credit Card,Taxi Affiliation Services,41.89960211,-87.63330804,41.80891628,-87.59618334
5/7/2021 16:30,5/7/2021 16:30,60.0,0.1,39.0,39.0,3.5,0.0,0.0,0.0,3.5,Cash,Taxi Affiliation Services,41.80891628,-87.59618334,41.80891628,-87.59618334
3/13/2021 22:00,3/13/2021 22:00,1.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,Cash,Flash Cab,41.89960211,-87.63330804,41.89960211,-87.63330804
6/2/2021 10:00,6/2/2021 10:30,1453.0,17.06,8.0,75.0,42.5,0.0,0.0,0.0,42.5,Prcard,Flash Cab,41.89960211,-87.63330804,41.68972991,-87.6690544
2/7/2021 18:00,2/7/2021 18:30,1546.0,14.71,76.0,6.0,37.75,8.45,0.0,4.0,50.7,Credit Card,City Service,41.98026432,-87.9136246,41.9442266,-87.65599818
2/3/2021 18:00,2/3/2021 18:00,420.0,0.0,28.0,32.0,6.75,0.0,0.0,0.0,6.75,Cash,"Taxicab Insurance Agency, LLC",41.87400538,-87.66351755,41.87886558,-87.62519214
1/31/2021 22:15,1/31/2021 22:15,0.0,0.0,4.0,4.0,3.25,0.0,0.0,0.0,3.25,Cash,Taxi Affiliation Services,41.97517094,-87.68751552,41.97517094,-87.68751552
1/9/2021 14:00,1/9/2021 14:30,1308.0,2.32,71.0,71.0,13.75,0.0,0.0,0.0,13.75,Cash,Flash Cab,41.74420515,-87.65630599,41.74420515,-87.65630599
4/6/2021 6:15,4/6/2021 6:30,1072.0,8.24,76.0,15.0,22.75,4.0,0.0,5.0,32.25,Credit Card,Sun Taxi,41.98026432,-87.9136246,41.95402765,-87.76339903
3/31/2021 15:30,3/31/2021 16:00,1973.0,10.54,76.0,3.0,30.5,0.0,0.0,0.0,30.5,Prcard,Flash Cab,41.98026432,-87.9136246,41.96581197,-87.65587879
4/19/2021 17:30,4/19/2021 18:15,2700.0,17.7,76.0,32.0,44.5,0.0,0.0,5.0,49.5,Cash,U Taxicab,41.97907082,-87.90303966,41.88099447,-87.63274649
5/11/2021 20:00,5/11/2021 20:00,60.0,0.4,1.0,1.0,4.0,0.0,0.0,0.0,4.0,Cash,"Taxicab Insurance Agency, LLC",42.00962288,-87.67016686,42.00962288,-87.67016686
1/26/2021 10:30,1/26/2021 10:45,549.0,5.65,32.0,25.0,16.25,0.0,0.0,0.0,16.25,Prcard,Flash Cab,41.87886558,-87.62519214,41.89060885,-87.75604671
3/26/2021 15:00,3/26/2021 15:45,2568.0,15.1,76.0,7.0,39.5,9.0,0.0,5.0,54.0,Credit Card,City Service,41.98026432,-87.9136246,41.92268628,-87.64948873
4/12/2021 11:00,4/12/2021 11:15,1383.0,12.1,32.0,44.0,32.25,0.0,0.0,0.0,32.25,Prcard,City Service,41.88498719,-87.62099291,41.74248757,-87.6300449
1/28/2021 18:15,1/28/2021 18:15,240.0,0.0,33.0,33.0,5.5,0.0,0.0,0.0,5.5,Unknown,Taxi Affiliation Services,41.85718386,-87.62033462,41.85718386,-87.62033462
5/4/2021 10:00,5/4/2021 10:15,461.0,0.9,8.0,8.0,6.25,3.0,0.0,0.0,9.75,Credit Card,Flash Cab,41.89960211,-87.63330804,41.89960211,-87.63330804
5/3/2021 12:45,5/3/2021 12:45,240.0,0.8,32.0,28.0,6.25,0.0,0.0,1.0,7.25,Cash,Taxi Affiliation Services,41.88099447,-87.63274649,41.87925508,-87.642649
2/5/2021 9:45,2/5/2021 10:00,923.0,4.3,29.0,61.0,14.25,0.0,0.0,0.0,14.25,Prcard,City Service,41.86019002,-87.7172201,41.80901825,-87.6591666
2/4/2021 18:15,2/4/2021 18:15,508.0,1.69,32.0,24.0,8.0,0.0,0.0,0.0,8.0,Cash,Flash Cab,41.87886558,-87.62519214,41.90120699,-87.67635599
2/14/2021 17:00,2/14/2021 17:15,1680.0,8.6,2.0,6.0,25.25,0.0,0.0,0.0,25.25,Unknown,Taxi Affiliation Services,42.00157103,-87.69501259,41.9442266,-87.65599818
4/30/2021 16:00,4/30/2021 16:45,2502.0,12.9,56.0,8.0,36.75,10.69,0.0,5.5,53.44,Credit Card,Medallion Leasin,41.78599852,-87.75093429,41.89204214,-87.63186395
2/8/2021 11:15,2/8/2021 11:15,180.0,0.8,8.0,32.0,5.25,0.0,0.0,1.0,6.25,Cash,Taxi Affiliation Services,41.89503345,-87.61971067,41.88498719,-87.62099291
2/17/2021 17:00,2/17/2021 17:45,2230.0,10.2,33.0,25.0,28.25,0.0,0.0,0.0,28.25,Prcard,Flash Cab,41.85718386,-87.62033462,41.89060885,-87.75604671
4/19/2021 13:15,4/19/2021 13:30,780.0,3.0,56.0,64.0,10.75,0.0,0.0,4.0,14.75,Cash,Medallion Leasin,41.79259236,-87.76961545,41.77958289,-87.76851085
5/13/2021 18:30,5/13/2021 19:00,1920.0,14.1,8.0,71.0,37.25,0.0,0.0,0.0,37.25,Prcard,Globe Taxi,41.89960211,-87.63330804,41.74420515,-87.65630599
3/6/2021 14:45,3/6/2021 14:45,360.0,0.0,32.0,32.0,6.5,0.0,0.0,0.0,6.5,Cash,Taxi Affiliation Services,41.87886558,-87.62519214,41.87886558,-87.62519214
3/1/2021 14:15,3/1/2021 14:45,1860.0,13.2,8.0,64.0,35.75,0.0,0.0,0.0,35.75,Cash,Taxi Affiliation Services,41.89960211,-87.63330804,41.77958289,-87.76851085
4/13/2021 14:15,4/13/2021 14:45,1711.0,16.85,51.0,53.0,42.0,0.0,0.0,0.0,42.0,Prcard,Flash Cab,41.69063335,-87.57005827,41.6738199,-87.63573978
5/14/2021 14:15,5/14/2021 14:30,1332.0,1.87,77.0,77.0,12.5,0.0,0.0,0.0,12.5,Cash,Flash Cab,41.9867118,-87.66341641,41.9867118,-87.66341641
1/3/2021 8:30,1/3/2021 8:45,1560.0,19.2,76.0,76.0,47.25,2.0,0.0,5.0,54.25,Credit Card,Top Cab Affiliation,41.98026432,-87.9136246,41.98026432,-87.9136246
2/8/2021 13:30,2/8/2021 14:30,3595.0,5.18,13.0,4.0,29.0,7.38,0.0,0.0,36.38,Prcard,Flash Cab,41.98363631,-87.72358319,41.97517094,-87.68751552
4/1/2021 13:00,4/1/2021 13:00,300.0,0.0,8.0,8.0,5.25,3.0,0.0,0.0,8.25,Credit Card,Taxi Affiliation Services,41.89960211,-87.63330804,41.89960211,-87.63330804
4/28/2021 12:15,4/28/2021 12:15,0.0,0.0,8.0,8.0,3.25,0.0,0.0,0.5,3.75,Cash,"Taxicab Insurance Agency, LLC",41.89503345,-87.61971067,41.89503345,-87.61971067
2/6/2021 23:15,2/6/2021 23:30,600.0,0.1,49.0,73.0,9.75,0.0,0.0,0.0,9.75,Cash,Taxi Affiliation Services,41.70658788,-87.62336651,41.71749304,-87.64889507
4/6/2021 14:15,4/6/2021 14:45,1800.0,0.7,24.0,56.0,30.75,0.0,0.0,0.0,30.75,Unknown,Taxi Affiliation Services,41.90120699,-87.67635599,41.79259236,-87.76961545
3/28/2021 15:00,3/28/2021 15:15,338.0,1.43,2.0,77.0,7.0,0.0,0.0,0.0,7.0,Prcard,Flash Cab,42.00157103,-87.69501259,41.9867118,-87.66341641
5/29/2021 0:45,5/29/2021 1:15,960.0,8.9,32.0,15.0,24.25,0.0,0.0,0.0,24.25,Cash,Taxi Affiliation Services,41.87886558,-87.62519214,41.95402765,-87.76339903
4/5/2021 15:45,4/5/2021 16:30,2567.0,2.09,43.0,46.0,19.25,0.0,0.0,0.0,19.25,Prcard,Flash Cab,41.76157791,-87.57278199,41.74124273,-87.5514282
4/16/2021 10:45,4/16/2021 11:00,470.0,1.8,8.0,28.0,8.0,1.0,0.0,0.0,9.5,Credit Card,Flash Cab,41.89960211,-87.63330804,41.87400538,-87.66351755
3/29/2021 7:45,3/29/2021 8:15,1268.0,6.53,40.0,32.0,20.0,0.0,0.0,0.0,20.0,Cash,Flash Cab,41.79235722,-87.61793138,41.87886558,-87.62519214
1/28/2021 17:00,1/28/2021 17:30,1800.0,0.6,46.0,49.0,27.5,0.0,0.0,0.0,27.5,Unknown,Taxi Affiliation Services,41.74124273,-87.5514282,41.70658788,-87.62336651
5/22/2021 20:45,5/22/2021 20:45,719.0,4.24,8.0,6.0,13.5,3.3,0.0,2.5,19.8,Credit Card,Sun Taxi,41.89960211,-87.63330804,41.9442266,-87.65599818
4/12/2021 21:45,4/12/2021 22:00,497.0,2.51,4.0,14.0,9.25,3.0,0.0,0.0,12.75,Credit Card,Flash Cab,41.97517094,-87.68751552,41.968069,-87.72155906
3/17/2021 20:15,3/17/2021 20:45,1140.0,1.5,8.0,8.0,10.75,0.0,0.0,0.0,10.75,Cash,Taxi Affiliation Services,41.89960211,-87.63330804,41.89960211,-87.63330804
5/9/2021 14:30,5/9/2021 14:45,1620.0,8.02,38.0,66.0,23.5,0.0,0.0,0.0,23.5,Prcard,Flash Cab,41.81294894,-87.61785968,41.77184852,-87.69566634
1/26/2021 15:00,1/26/2021 15:00,300.0,3.1,8.0,8.0,5.75,0.0,0.0,1.0,6.75,Cash,"Taxicab Insurance Agency, LLC",41.89960211,-87.63330804,41.89960211,-87.63330804
3/22/2021 17:45,3/22/2021 18:15,1049.0,6.8,8.0,77.0,20.75,0.0,0.0,0.0,20.75,Prcard,City Service,41.89960211,-87.63330804,41.9867118,-87.66341641
5/12/2021 20:15,5/12/2021 20:45,1638.0,7.9,56.0,41.0,22.75,8.18,0.0,4.0,35.43,Credit Card,Sun Taxi,41.79259236,-87.76961545,41.79409025,-87.59231086
5/24/2021 20:00,5/24/2021 20:45,2340.0,15.1,76.0,6.0,39.5,8.8,0.0,4.0,52.3,Credit Card,"Taxicab Insurance Agency, LLC",41.98026432,-87.9136246,41.9442266,-87.65599818
5/20/2021 18:15,5/20/2021 18:15,6.0,0.0,6.0,6.0,3.25,0.0,0.0,0.0,3.25,Cash,Globe Taxi,41.9442266,-87.65599818,41.9442266,-87.65599818
2/9/2021 18:45,2/9/2021 19:15,1740.0,0.0,8.0,2.0,27.5,0.0,0.0,1.0,28.5,Cash,"Taxicab Insurance Agency, LLC",41.89960211,-87.63330804,42.00157103,-87.69501259
4/26/2021 17:30,4/26/2021 17:30,4.0,10.19,53.0,53.0,27.5,0.0,0.0,0.0,27.5,Prcard,Flash Cab,41.6738199,-87.63573978,41.6738199,-87.63573978
4/27/2021 17:30,4/27/2021 17:30,480.0,0.0,8.0,8.0,6.75,0.0,0.0,0.0,6.75,Cash,Taxi Affiliation Services,41.89960211,-87.63330804,41.89960211,-87.63330804
3/1/2021 13:30,3/1/2021 13:45,180.0,0.0,77.0,77.0,4.75,1.0,0.0,0.0,5.75,Credit Card,Taxi Affiliation Services,41.9867118,-87.66341641,41.9867118,-87.66341641
5/28/2021 10:30,5/28/2021 11:15,2040.0,0.0,66.0,8.0,32.75,0.0,0.0,0.0,32.75,Cash,Taxi Affiliation Services,41.77184852,-87.69566634,41.89960211,-87.63330804
5/28/2021 16:00,5/28/2021 16:15,663.0,0.9,2.0,1.0,6.75,0.0,0.0,0.0,6.75,Cash,Medallion Leasin,42.00157103,-87.69501259,42.00962288,-87.67016686
5/12/2021 14:00,5/12/2021 14:15,511.0,1.7,28.0,8.0,8.25,0.0,0.0,0.0,8.75,Credit Card,City Service,41.87925508,-87.642649,41.89250778,-87.62621491
5/15/2021 14:30,5/15/2021 14:45,632.0,3.06,33.0,28.0,11.25,2.95,0.0,3.0,17.7,Credit Card,City Service,41.85718386,-87.62033462,41.87400538,-87.66351755
5/11/2021 9:15,5/11/2021 9:45,1235.0,6.82,3.0,3.0,20.25,0.0,0.0,0.0,20.25,Prcard,Flash Cab,41.96581197,-87.65587879,41.96581197,-87.65587879
2/5/2021 17:00,2/5/2021 17:30,2118.0,14.09,28.0,48.0,43.02,0.0,0.0,0.0,43.02,Cash,Flash Cab,41.87400538,-87.66351755,41.72967642,-87.57271713
2/24/2021 14:15,2/24/2021 14:15,180.0,0.0,8.0,8.0,4.5,0.0,0.0,0.0,4.5,Cash,Blue Ribbon Taxi Association Inc.,41.89960211,-87.63330804,41.89960211,-87.63330804
3/9/2021 17:00,3/9/2021 17:30,2100.0,8.7,2.0,2.0,27.0,0.0,0.0,0.0,27.0,Unknown,Taxi Affiliation Services,42.00157103,-87.69501259,42.00157103,-87.69501259
5/9/2021 15:00,5/9/2021 15:30,1521.0,14.87,6.0,69.0,38.25,0.0,0.0,0.0,38.25,Cash,Flash Cab,41.9442266,-87.65599818,41.7632468,-87.61613411
3/4/2021 11:15,3/4/2021 11:15,310.0,0.5,8.0,8.0,5.0,1.0,0.0,0.0,6.5,Credit Card,Medallion Leasin,41.89503345,-87.61971067,41.89092203,-87.61886836
2/5/2021 10:30,2/5/2021 10:45,540.0,0.0,32.0,8.0,9.5,2.0,0.0,0.0,11.5,Credit Card,"Taxicab Insurance Agency, LLC",41.87886558,-87.62519214,41.89960211,-87.63330804
